source,target,value
Catelyn,Thoros,5
Catelyn,Lothar,25
Brynden,Edmure,5
Greatjon,Lothar,5
Bran,Catelyn,5
Bran,Theon,6
Jon,Theon,6
Jon,Lothar,1
Catelyn,Robett,1
Catelyn,Joffrey,3
Catelyn,Tyrion,5
Lysa,Sansa,2
Ned,Sansa,5
Lothar,Rickard,5
Brynden,Theon,6
Brynden,Rodrik,1
Catelyn,Rodrik,6
Catelyn,Luwin,6
Hodor,Luwin,6
Lothar,Theon,3
Davos,Shireen,2
Randyll,Robert,10
Davos,Robert,7
Davos,Joffrey,14
Robert,Selyse,4
Barristan,Varys,10
Davos,Jaime,3
Melisandre,Robert,7
Brienne,Robert,10
Pycelle,Robert,5
