source,target,value
Meryn,The Hound,6
Amory,The Hound,3
Jaqen,Jon,14
Jaqen,Syrio,4
Arya,Robert,6
Brienne,Stannis,37
Robert,Tommen,5
Brienne,Robert,16
Margaery,Stannis,2
Mace,Randyll,11
Catelyn,Mace,4
Loras,Stannis,9
Catelyn,The Hound,1
Lancel,Sansa,25
Dontos,Jaime,2
Bronn,Renly,5
Robb,Sansa,17
Jaime,Sansa,21
Jaime,Robert,26
Lysa,Ned,9
Randyll,Stannis,9
Brienne,Randyll,4
Barristan,Catelyn,2
Bran,Brienne,4
Bran,Robert,2
Hodor,Jon,2
Osha,Robb,6
Meera,Robb,1
Jojen,Robb,6
Randyll,Varys,2
Loras,Renly,6
Mace,Tyrion,3
Loras,Mace,11
Margaery,Sansa,3
Margaery,Tyrion,4
The Hound,Varys,9
The Hound,Tyrion,11
Joffrey,Margaery,12
Loras,Tyrion,4
Bronn,Loras,5
Littlefinger,Mace,7
Joffrey,Mace,11
Black,Theon,17
Dagmer,Ned,5
Black,Dagmer,5
Dagmer,Rodrik,9
Jaqen,Kevan,1
Arya,Kevan,5
Jaqen,Yoren,28
Jon,Ned,24
Brienne,Robb,8
Edmure,Jaime,2
Brynden,Robb,6
Brynden,Edmure,5
Daenerys,Xaro,1
Rakharo,Xaro,2
Myrcella,Pyat,3
Cersei,Doran,3
Doran,Stannis,5
Bronn,Lancel,16
Lancel,Tommen,6
Lancel,Meryn,12
Meryn,Tyrion,7
Joffrey,The Hound,10
Jaime,Meryn,7
Bronn,Tommen,12
Randyll,Robert,3
Davos,Robert,7
Davos,Joffrey,8
Renly,Selyse,5
Joffrey,Selyse,5
Joffrey,Melisandre,6
Craster,Qhorin,7
Lancel,Varys,9
Bronn,Stannis,14
Robb,Varys,2
Robb,Shae,4
Shae,Stannis,9
Brienne,Edmure,7
Brynden,Renly,5
Arya,Ned,19
Edmure,Jon,11
Edmure,Ramsay,1
Edmure,The Mountain,6
Dagmer,Luwin,5
Bran,Robb,10
Jojen,Theon,3
Meera,Theon,6
Hodor,Theon,5
Hodor,Ned,4
Ned,Robb,1
Hot,Syrio,4
Joffrey,Syrio,1
Amory,Jaqen,4
Jaqen,Robett,4
Arya,Robett,13
Nymeria,Sansa,9
Amory,Roose,5
Pyat,Rakharo,10
Theon,Tyrion,6
Luwin,Theon,55
Osha,Theon,5
Jon,Ygritte,76
Benjen,Ygritte,6
Qhorin,Ygritte,23
Dontos,Stannis,12
Ned,Sansa,10
Dontos,The Hound,5
Dontos,Loras,6
Cersei,Sansa,34
Qhorin,Varys,2
Meryn,Stannis,4
Myrcella,Shae,1
Jaime,Tommen,1
Catelyn,Rickon,7
Brienne,Rickon,4
Brienne,Theon,15
Brienne,Cersei,2
Bran,Catelyn,10
Bran,Jaime,1
Jaime,Lyanna,2
Ned,Varys,5
Littlefinger,Robert,2
Brienne,Jaime,6
