Price_Real_Sugar_Brasil,Price_Real_Ethanol_Brasil,Price_Real_Ethanol_USA,Price_Real_Sugar_CHINA,Price_Real_Raizen
137.67,3355.5,11.105119155903223,4669.703138204162,6.34
138.24,3354.0,11.011875848339518,4633.902017783857,6.64
136.62,3351.0,10.945988372093025,4608.108409133099,6.99
139.33,3337.0,10.766733103823158,4537.1578857338345,6.88
139.36,3337.0,10.601124818577649,4482.7146156807385,7.1
139.29,3342.5,10.599042330450615,4457.587060554547,7.11
139.37,3372.5,10.439344142831116,4403.397938026397,7.15
140.0,3435.5,10.333524813670243,4359.163112260202,7.27
140.0,3483.0,10.268765274484773,4364.689201568807,7.37
140.58,3500.0,10.217179972936401,4337.417774627924,7.34
140.82,3495.0,10.2521373359698,4338.018849234427,7.33
142.86,3480.0,10.314335645437348,4377.573768163289,7.03
143.65,3473.0,10.199609120521174,4308.733199641592,6.92
143.65,3487.5,10.041791912766925,4306.043511167625,7.0
143.23,3523.5,9.921546175585743,4303.353822693657,7.1
142.41,3611.5,10.084350453172204,4300.66413421969,7.13
142.47,3722.0,10.182631000366436,4347.3652229005875,7.03
141.76,3815.0,10.258657582174754,4410.8446791579245,6.95
143.44,3906.0,10.215412844036697,4417.8286866940425,6.9
142.26,3917.0,10.131575361384773,4371.529530773566,6.98
141.49,3994.5,10.065568076852024,4343.184772044851,7.08
141.49,3994.0,10.171737451737451,4396.922965954992,7.1
142.48,3977.5,10.171737451737451,4399.139901904213,7.13
140.99,3939.0,10.049408497639543,4342.338308601901,6.95
139.57,3910.0,10.06823268698061,4296.641962331529,6.97
139.57,3895.25,9.984370349958667,4240.005524861878,6.925
139.57,3880.5,10.169192937043542,4286.554057896832,6.88
139.48,3788.5,10.442814070351758,4319.453805505838,7.05
137.12,3673.0,10.621922428330523,4367.59010266764,7.02
136.94,3558.5,10.82653311915336,4435.389898669588,7.11
135.46,3495.0,10.80824034334764,4376.80950116026,7.19
135.43,3458.0,10.576212523719166,4297.879696432943,6.9
